2010,384
nineteenth,317
twentieth,262
2012,141
eighteenth,137
1910,136
1950,132
1970,128
1980,112
1914,109
1945,104
1970s,88
1980s,86
2013,82
1990,81
1913,75
2000,75
1900,69
1820,58
1870,52
1950s,49
2008,48
1810,46
1990s,43
1920,38
2007,34
2011,34
1960s,29
2000s,29
2010s,28
1960,28
2009,27
2050,26
1987,25
1800,25
1920s,24
1930s,24
1929,22
2030,21
1998,20
1930,18
1815,17
2005,17
1901,16
2001,15
1983,15
1968,15
1932,14
1948,14
1940s,13
1860,13
1880,13
1933,12
1890,12
1940,12
1919,11
1917,11
1936,10
1922,10
1956,9
1935,9
1939,9
1912,9
2003,9
2006,9
1944,9
1848,9
1991,8
1992,8
1953,8
1986,8
1928,8
1909,8
2014,7
1975,7
1850,7
1938,7
1993,7
1995,7
2002,7
1947,7
1810s,6
1978,6
1972,6
1872,6
1918,6
2004,6
1803,6
1910s,6
1923,6
1994,5
1955,5
1937,5
1915,5
1916,5
1800s,5
1982,5
1981,5
2040,5
1979,5
1946,5
1989,5
1840,5
1911,4
1977,4
1971,4
1974,4
1831,4
2020,4
1965,4
1988,4
1967,4
1949,4
1926,4
1820s,4
1865,4
2015,3
1997,3
1817,3
1907,3
1905,3
1931,3
1871,3
1899,3
1891,3
1985,3
1807,3
1925,3
1927,3
1842,3
1906,3
1867,3
1961,3
1881,3
1870s,2
1850s,2
18315,2
1857,2
1880s,2
2070,2
1908,2
1830,2
1954,2
1840s,2
1873,2
1896,2
1893,2
1900s,2
1816,2
2030s,2
1962,2
1963,2
2060,2
1964,2
1804,2
1942,2
1941,2
1841,2
1845,2
1884,2
1883,2
1835,2
1924,1
1951,1
2016,1
1952,1
1958,1
1999,1
1812,1
1818,1
1973,1
1833,1
1837,1
1834,1
1838,1
2063,1
1996,1
1851,1
1934,1
1878,1
2013036024,1
1894,1
1895,1
1984,1
1890s,1
in1903,1
2070s,1
1832,1
1847,1
1969,1
1966,1
1801,1
1808,1
1943,1
1825,1
1826,1
1821,1
1823,1
2050s,1
1849,1
1902,1
1861,1
1869,1
1889,1
1887,1
1886,1
1957,1
